,hamiltonian,hamiltonian_desired,h_dot,h_dot_desired,x1,x2,psi,x1_dot,x2_dot,x1_desired,x2_desired,p1,p2,p1_dot,p2_dot,p1_desired,p2_desired,control_constraint,x0,y0,xf,yf,cost,time,elapsed_time
0,-1.5391603,-1.5370289,0.41725516,0.0,-4.2557626,11.443863,-2.3213172,-6.734998,-7.2399554,-6.820198,-7.3133373,0.26491416,0.28213072,-0.72801787,0.370001,-0.72359926,0.41520467,0.013219118,-4.2610054,11.437855,8.628517,-1.378726,2.330924,0.0,631.3265
1,-1.5374084,-1.5370405,0.38713259,-0.005314977,-4.2849684,11.412195,-2.312951,-6.6823187,-7.307705,-6.758776,-7.370139,0.26174682,0.28373325,-0.72706884,0.36621255,-0.7231863,0.40887737,0.011421084,-4.2610054,11.437855,8.628517,-1.378726,2.3228335,0.0043534073,631.3265
2,-1.5357871,-1.537075,0.35758537,-0.010565612,-4.3139424,11.380235,-2.3045492,-6.628376,-7.374412,-6.696615,-7.426665,0.25858372,0.2853192,-0.72611505,0.36240563,-0.7227356,0.40258497,0.009741783,-4.2610054,11.437855,8.628517,-1.378726,2.3148189,0.008706815,631.3265
3,-1.5342939,-1.5371324,0.32862413,-0.015752863,-4.3426785,11.347989,-2.296114,-6.5732026,-7.440077,-6.633732,-7.4828873,0.25542474,0.28688854,-0.72515625,0.35858068,-0.7222474,0.39632854,0.00817287,-4.2610054,11.437855,8.628517,-1.378726,2.30688,0.013060222,631.3265
4,-1.5329258,-1.537212,0.30025595,-0.020877736,-4.3711715,11.315459,-2.2876465,-6.516824,-7.5047054,-6.570134,-7.5387897,0.25226992,0.2884413,-0.7241927,0.3547376,-0.7217237,0.39010862,0.0067118406,-4.2610054,11.437855,8.628517,-1.378726,2.2990198,0.01741363,631.3265
5,-1.5316787,-1.5373139,0.27249473,-0.02594121,-4.399417,11.282649,-2.279149,-6.4592676,-7.5683017,-6.505837,-7.5943465,0.24911933,0.2899772,-0.7232244,0.35087693,-0.721165,0.3839257,0.005354166,-4.2610054,11.437855,8.628517,-1.378726,2.2912383,0.021767037,631.3265
6,-1.5305512,-1.5374378,0.24534991,-0.030944288,-4.42741,11.249563,-2.270622,-6.400561,-7.630875,-6.440844,-7.649545,0.24597283,0.2914963,-0.7222514,0.34699866,-0.72057235,0.37778038,0.0040980577,-4.2610054,11.437855,8.628517,-1.378726,2.2835355,0.026120445,631.3265
7,-1.529541,-1.5375832,0.21882948,-0.035887986,-4.4551444,11.216208,-2.2620687,-6.340738,-7.6924257,-6.3751802,-7.7043543,0.2428308,0.29299843,-0.7212739,0.34310332,-0.7199468,0.37167352,0.0029367208,-4.2610054,11.437855,8.628517,-1.378726,2.275913,0.030473853,631.3265
8,-1.5286455,-1.5377501,0.19294105,-0.0407733,-4.482616,11.18259,-2.25349,-6.279825,-7.752962,-6.308852,-7.7587614,0.23969288,0.29448366,-0.7202917,0.33919084,-0.7192884,0.3656054,0.0018658638,-4.2610054,11.437855,8.628517,-1.378726,2.26837,0.03482726,631.3265
9,-1.5278614,-1.5379381,0.16769192,-0.045601282,-4.5098205,11.148707,-2.2448876,-6.2178483,-7.812491,-6.2418766,-7.812745,0.23655923,0.29595178,-0.71930504,0.33526155,-0.71859926,0.35957655,0.00088226795,-4.2610054,11.437855,8.628517,-1.378726,2.2609081,0.039180666,631.3265
10,-1.527185,-1.5381471,0.1430842,-0.05037299,-4.536752,11.11457,-2.236263,-6.154843,-7.8710175,-6.1742635,-7.866287,0.23343007,0.29740265,-0.71831375,0.331316,-0.7178802,0.35358757,-1.41859055e-05,-4.2610054,11.437855,8.628517,-1.378726,2.2535286,0.043534074,631.3265
11,-1.5266142,-1.5383766,0.119123116,-0.05508946,-4.5634074,11.080178,-2.227618,-6.090832,-7.9285507,-6.106029,-7.919369,0.23030509,0.2988364,-0.7173182,0.3273539,-0.71713233,0.34763882,-0.0008327961,-4.2610054,11.437855,8.628517,-1.378726,2.2462316,0.04788748,631.3265
12,-1.5261471,-1.5386266,0.09581278,-0.059751716,-4.589783,11.045537,-2.2189534,-6.025847,-7.985101,-6.037183,-7.971978,0.22718464,0.3002528,-0.7163179,0.323376,-0.7163564,0.3417302,-0.0015701056,-4.2610054,11.437855,8.628517,-1.378726,2.2390168,0.05224089,631.3265
13,-1.5257788,-1.5388967,0.073146515,-0.064360864,-4.6158733,11.010653,-2.2102723,-5.959923,-8.040669,-5.9677505,-8.024086,0.22406818,0.30165198,-0.71531355,0.31938177,-0.71555364,0.33586264,-0.002241373,-4.2610054,11.437855,8.628517,-1.378726,2.2318857,0.056594297,631.3265
14,-1.5255089,-1.5391867,0.051141933,-0.06891793,-4.6416736,10.97553,-2.2015753,-5.893081,-8.095267,-5.8977404,-8.075684,0.22095643,0.30303362,-0.7143047,0.31537247,-0.7147248,0.3300363,-0.002839446,-4.2610054,11.437855,8.628517,-1.378726,2.2248383,0.060947705,631.3265
15,-1.5253325,-1.5394967,0.029782683,-0.07342405,-4.6671805,10.940171,-2.192864,-5.825361,-8.1489,-5.827167,-8.126754,0.21784903,0.30439776,-0.7132918,0.3113478,-0.7138716,0.3242516,-0.0033712387,-4.2610054,11.437855,8.628517,-1.378726,2.217876,0.06530111,631.3265
16,-1.5252483,-1.5398262,0.009075083,-0.077880196,-4.692393,10.90458,-2.1841395,-5.7567844,-8.201582,-5.756045,-8.177282,0.21474595,0.3057444,-0.7122746,0.30730802,-0.71299416,0.31850803,-0.0038400888,-4.2610054,11.437855,8.628517,-1.378726,2.2109976,0.06965452,631.3265
17,-1.5252533,-1.5401747,-0.01098308,-0.08228751,-4.7173038,10.868763,-2.1754038,-5.6873817,-8.253316,-5.6843925,-8.227253,0.21164732,0.30707344,-0.7112532,0.30325347,-0.71209407,0.3128063,-0.0042499304,-4.2610054,11.437855,8.628517,-1.378726,2.204204,0.07400793,631.3265
18,-1.525343,-1.5405425,-0.030395944,-0.08664713,-4.7419105,10.832722,-2.1666584,-5.6171856,-8.304112,-5.612225,-8.276649,0.20855324,0.30838478,-0.7102276,0.2991845,-0.7111729,0.3071466,-0.0046025515,-4.2610054,11.437855,8.628517,-1.378726,2.1974974,0.07836133,631.3265
19,-1.5255165,-1.5409291,-0.049166273,-0.0909601,-4.7662096,10.796462,-2.1579046,-5.546226,-8.35398,-5.5395594,-8.32546,0.20546357,0.30967835,-0.7091982,0.29510137,-0.71023095,0.30152896,-0.0049026012,-4.2610054,11.437855,8.628517,-1.378726,2.190876,0.082714744,631.3265
20,-1.5257702,-1.5413343,-0.06729831,-0.09522745,-4.7901993,10.759986,-2.1491435,-5.4745283,-8.402929,-5.4664063,-8.373673,0.20237838,0.31095415,-0.70816463,0.2910042,-0.70926917,0.295953,-0.005151272,-4.2610054,11.437855,8.628517,-1.378726,2.1843405,0.08706815,631.3265
21,-1.5261016,-1.5417581,-0.08479834,-0.09945033,-4.8138747,10.7233,-2.1403763,-5.4021254,-8.450969,-5.3927846,-8.421276,0.19929756,0.31221214,-0.7071269,0.28689313,-0.70828915,0.2904193,-0.005352974,-4.2610054,11.437855,8.628517,-1.378726,2.1778917,0.09142156,631.3265
22,-1.5265074,-1.5422001,-0.101668335,-0.103629835,-4.837233,10.686408,-2.1316054,-5.329047,-8.498104,-5.318715,-8.46825,0.19622155,0.31345206,-0.70608544,0.2827691,-0.7072918,0.28492782,-0.005509019,-4.2610054,11.437855,8.628517,-1.378726,2.1715298,0.09577496,631.3265
23,-1.5269866,-1.5426602,-0.11791546,-0.10776693,-4.860274,10.64931,-2.1228306,-5.255313,-8.54435,-5.2442045,-8.514594,0.19314991,0.31467408,-0.70504016,0.27863178,-0.70627725,0.27947763,-0.0056221485,-4.2610054,11.437855,8.628517,-1.378726,2.1652532,0.100128375,631.3265
24,-1.5275335,-1.5431383,-0.13355286,-0.111862965,-4.8829894,10.612015,-2.1140544,-5.180967,-8.589713,-5.1692777,-8.56029,0.19008283,0.31587806,-0.7039908,0.27448177,-0.705248,0.27406994,-0.005697131,-4.2610054,11.437855,8.628517,-1.378726,2.1590652,0.10448178,631.3265
25,-1.5281477,-1.543634,-0.14857866,-0.11591885,-4.905381,10.574523,-2.1052778,-5.1060247,-8.634202,-5.093949,-8.605329,0.1870204,0.31706393,-0.7029378,0.2703193,-0.70420396,0.2687038,-0.005735278,-4.2610054,11.437855,8.628517,-1.378726,2.152964,0.10883519,631.3265
26,-1.5288262,-1.5441475,-0.16300651,-0.119935594,-4.927446,10.5368395,-2.0965016,-5.030519,-8.677829,-5.018232,-8.649703,0.18396251,0.31823164,-0.7018809,0.26614463,-0.70314616,0.26337904,-0.005739093,-4.2610054,11.437855,8.628517,-1.378726,2.1469493,0.113188595,631.3265
27,-1.5295665,-1.5446782,-0.1768419,-0.1239144,-4.94918,10.498968,-2.087727,-4.9544773,-8.7206,-4.9421425,-8.693401,0.18090926,0.31938118,-0.70082027,0.26195794,-0.7020757,0.2580958,-0.0057104826,-4.2610054,11.437855,8.628517,-1.378726,2.141022,0.117542006,631.3265
28,-1.5303655,-1.5452262,-0.19009478,-0.12785621,-4.970583,10.460913,-2.0789554,-4.877925,-8.762527,-4.865698,-8.736418,0.17786054,0.32051247,-0.699756,0.25775972,-0.7009932,0.25285354,-0.0056529045,-4.2610054,11.437855,8.628517,-1.378726,2.135181,0.12189541,631.3265
29,-1.5312202,-1.5457914,-0.20277587,-0.13176231,-4.991651,10.422675,-2.0701876,-4.800891,-8.803618,-4.788912,-8.778743,0.17481647,0.32162547,-0.69868815,0.25355014,-0.6999001,0.24765223,-0.0055673122,-4.2610054,11.437855,8.628517,-1.378726,2.1294277,0.12624882,631.3265
